episode,goal_x,goal_y,goal_z,ee_x,ee_y,ee_z,torso_x,torso_y,torso_z,shoulder_x,shoulder_y,shoulder_z,dist_ee_goal,dist_torso_goal,dist_shoulder_goal
0,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
1,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
2,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
3,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
4,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
5,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
6,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
7,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
8,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
9,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
10,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
11,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
12,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
13,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
14,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
15,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
16,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
17,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
18,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
19,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
20,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
21,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
22,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
23,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
24,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
25,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
26,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
27,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
28,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
29,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
30,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
31,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
32,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
33,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
34,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
35,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
36,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
37,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
38,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
39,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
40,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
41,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
42,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
43,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
44,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
45,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
46,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
47,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
48,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
49,0.238,-0.12,0.48953186565279627,-0.07411490748266536,-0.9941587340371176,0.6275635106750859,-0.062,0.0,0.8695318656527963,-0.03644,-0.19,0.6985318656527962,0.9384145900367535,0.498798556533597,0.35199192263459683
